product,entry,kegg,name,formula,metanetx,modelseed,bigg,chebi,metacyc,sabio_rk,reactome,smiles
Medium-Chain Fatty Acids,,,,,,,,,,,,
de novo fatty acids,,,,,,,,,,,,
Hexa-histidine tagged cfGFPhs1-RM with Methionine at position 1,,,,,,,,,,,,
S-allyl-l-homocysteine,,,,,,,,,,,,
C-terminally,,,,,,,,,,,,
cfGFPhs1-RM with Methionine at positions 134 and 143,,,,,,,,,,,,
"Ribulose-1,5-bisphosphate",,,,,,,,,,,,
Staphylococcal Enterotoxin L,,,,,,,,,,,,
recombinant-tagged somatostatin-28,,,,,,,,,,,,
dry cell weight,,,,,,,,,,,,
Coenzyme Q9,,,,,,,,,,,,
6-oxopiperidine-2-carboxylic acid,,,,,,,,,,,,
penicillin G,C05551,C05551,Penicillin G,C16H18N2O4S,MNXM1812,cpd03292,acgbgbside_hs;peng,18208;51354,PENICILLIN-G,7979,,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O
3-dehydroshikimate,C02637,C02637,3-Dehydroshikimate,C7H8O5,MNXM611,cpd01716,3dhsk,16630;177846;30918,3-DEHYDRO-SHIKIMATE,27313;6290,R-ALL-964941,O=C(O)C1=CC(=O)[C@@H](O)[C@H](O)C1
Dipicolinic acid,,,,,,,,,,,,
l-homoserine,C00263,C00263,L-Homoserine,C4H9NO3,MNXM353,cpd00227,hom__L,15699;57476,HOMO-SER,2001,,N[C@@H](CCO)C(=O)O
"Z,Z-farnesol",,,,,,,,,,,,
decanoic-acid-ethyl-ester,,,,,,,,,,,,
N-methylanthranilate,C03005,C03005,N-Methylanthranilate,C8H9NO2,MNXM3318,cpd01928,,16394;36557,CPD-402,,,CNc1ccccc1C(=O)O
cpxP transcript,,,,,,,,,,,,
neryl acetate,,,,,,,,,,,,
retinoic acid,C00777,C00777,Retinoate,C20H28O2,MNXM1107683,cpd00577,CE5594;retn,15036;15367;26536;35291,RETINOATE;Retinoates,5231,R-ALL-215573;R-ALL-5246462;R-ALL-5334804;R-ALL-5334816,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1
ω-aminododecanoic acid,,,,,,,,,,,,
ω-hydroxydodecanedioic acid,,,,,,,,,,,,
Bacterial Astaxanthin Biosynthesis Regulatory Protein,,,,,,,,,,,,
sarcinaxanthin,,,,,,,,,,,,
salicylic acid,C00805,C00805,Salicylate,C7H6O3,MNXM730078,cpd00599,salc,16914;30762,CPD-110,2163,R-ALL-159559;R-ALL-2314690,O=C(O)c1ccccc1O
3-hydroxyvalerate,,,,,,,,,,,,
poly(3-hydroxybutyrate-co-3-hydroxyvalerate),,,,,,,,,,,,
polyphosphate,C00404,C00404,Polyphosphate,H4P2O7(HPO3)n,MNXM731401,,,,,,,O=P(O)(O)OP(=O)(O)OP(=O)(O)O
Control strain,,,,,,,,,,,,
2-phenylacetamide,C02505,C02505,2-Phenylacetamide,C8H9NO,MNXM2073,cpd01647,M00673;pad,16562,CPD-238,6244,,NC(=O)Cc1ccccc1
globotriose,,,,,,,,,,,,
poly(3-hydroxybutyrate-co-3-hydroxyhexanoate,,,,,,,,,,,,
D-galactonate,C00880,C00880,D-Galactonate,C6H12O7,MNXM1734,cpd00653,galctn__D,12931;16534;24148;24149,D-GALACTONATE,2177,,O=C(O)[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO
L-arabonate,,,,,,,,,,,,
tridecane,C13834,C13834,Tridecane,C13H28,MNXM725808,cpd09654,,35998,CPD-7949,,,CCCCCCCCCCCCC
pTarget series plasmids,,,,,,,,,,,,
Chassis strain,,,,,,,,,,,,
Lipopolysaccharide,C00338,C00338,Lipopolysaccharide,,MNXM738757,,,,,,,
CTB-O5/O7 glycoconjugate,,,,,,,,,,,,
Amorphadiene,,,,,,,,,,,,
cinnamyl acetate,C12299,C12299,Cinnamyl acetate,C11H12O2,MNXM1108245,cpd09071,,156069,CPD-15316,,,CC(=O)OC/C=C/c1ccccc1
Dihydroxyacetone,C00184,C00184,Glycerone,C3H6O3,MNXM460,cpd00157,dha,16016,DIHYDROXYACETONE,1963,,O=C(CO)CO
Pyruvate,C00022,C00022,Pyruvate,C3H4O3,MNXM23,cpd00020,pyr,15361;177913;32816,PYRUVATE,33,R-ALL-113557;R-ALL-29398;R-ALL-389680;R-ALL-429750,CC(=O)C(=O)O
PHAs with defined repeating unit composition,,,,,,,,,,,,
Diaminopimelic acid,,,,,,,,,,,,
O-acetyl serine,,,,,,,,,,,,
poly[(R)-3-hydroxybutyrate],,,,,,,,,,,,
2-Deoxy-scyllo-inosose,C17209,C17209,2-Deoxy-scyllo-inosose,C6H10O5,MNXM4287,cpd17399,,64796,CPD-14120,28202,,O=C1C[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O
l(−)-carnitine,,,,,,,,,,,,
sialyllactose,,,,,,,,,,,,
Gene cloning and reference ␤-carotene production,,,,,,,,,,,,
Comparison of effect of different host strains,,,,,,,,,,,,
Top portion of the mevalonate pathway,,,,,,,,,,,,
P(3HB-co-52.3 mol% LA) copolymer,,,,,,,,,,,,
P(3HB-co-67.4 mol% LA) copolymer,,,,,,,,,,,,
PLA homopolymer,,,,,,,,,,,,
"3β,12β-Di-O-Glc-PPD",,,,,,,,,,,,
3-(Aminomethyl) pyridine,,,,,,,,,,,,
P(62 mol%3HB-co-32 mol%2HB-co-6 mol%LA),,,,,,,,,,,,
P(70 mol%3HB-co-18 mol%2HB-co-12 mol%LA),,,,,,,,,,,,
P(74 mol%3HBco-21 mol%2HB-co-5 mol%LA),,,,,,,,,,,,
neral,C09847,C09847,cis-Citral,C10H16O,MNXM3672,cpd06738,,29020,CPD-9762,11933,,CC(C)=CCC/C(C)=C\C=O
(+)-valencene,C17277,C17277,(+)-Valencene,C15H24,MNXM3730,cpd17463,,61700,CPD-7989,,,C=C(C)[C@@H]1CCC2=CCC[C@@H](C)[C@]2(C)C1
beta-elemene,C17094,C17094,beta-Elemene,C15H24,MNXM30260,cpd17350,,62855,CPD-8232,,,C=C[C@]1(C)CC[C@@H](C(=C)C)C[C@H]1C(=C)C
Protoilludene,,,,,,,,,,,,
pyridoxal 5'-phosphate,C00018,C00018,Pyridoxal phosphate,C8H10NO6P,MNXM161,cpd00016,pydx5p,18405;597326,PYRIDOXAL_PHOSPHATE,1271,R-ALL-29390,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
Vitreoscilla hemoglobin with His-tag,,,,,,,,,,,,
Lacto-N-difucohexaose II,,,,,,,,,,,,
Glucosamine,,,,,,,,,,,,
clavulanic acid,C06662,C06662,Clavulanic acid,C8H9NO5,MNXM5682,cpd04065,,487869;48947,CPD-9261,8820,,O=C(O)[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21
N-acetyl-lactosamine,C00611,C00611,N-Acetyllactosamine,C14H25NO11,MNXM729847,cpd00469,,16153;60152,BETA-D-GALACTOSYL-ETCETERA-GLUCOSAMINE,5157,,CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@@H]1O
2-methylcitric acid,,,,,,,,,,,,
P2GLuc,,,,,,,,,,,,
murine granulocyte-colony stimulating factor with a C-terminal 6H tag and a cleavable protein precursor,,,,,,,,,,,,
pET42-pelB-A-6H-GLuc,,,,,,,,,,,,
pET42-pelB-A-GLuc-thr-6H,,,,,,,,,,,,
Tetracenomycin A2,C12371,C12371,Tetracenomycin A2,C23H18O8,MNXM5942,cpd09124,,32197,CPD-16677,,,COC(=O)c1c(OC)cc2cc3c(c(O)c2c1C)C(=O)c1c(O)cc(OC)cc1C3=O
Tetracenomycin C,C06801,C06801,Tetracenomycin C,C23H20O11,MNXM12989,cpd04173,,9470,CPD-15533,,,COC(=O)c1c(OC)cc2cc3c(c(O)c2c1C)C(=O)[C@]1(O)C(=O)C=C(OC)[C@@H](O)[C@]1(O)C3=O
cubebol,C20172,C20172,Cubebol,C15H26O,MNXM4536,cpd21405,,63446,CPD-13860,32546,,CC(C)[C@@H]1CC[C@@H](C)[C@@]23CC[C@](C)(O)C2[C@@H]13
(+)-catechin,C06562,C06562,(+)-Catechin,C15H14O6,MNXM734430,cpd03970,,15600,CPD-1961,8730,,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2
leucocyanidin,C05906,C05906,Leucocyanidin,C15H14O7,MNXM727079,cpd03503,,11412,CPD-590,,,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)[C@H]2O
carotenoids DPL and DPA,,,,,,,,,,,,
L-alanine,C00041,C00041,L-Alanine,C3H7NO2,MNXM1105732,cpd00035,ala__L,16977;32431;32432;57972;76050,L-ALPHA-ALANINE,67,R-ALL-29432;R-ALL-352036;R-ALL-379697;R-ALL-389664,C[C@H](N)C(=O)O
L-aspartate derivatives,,,,,,,,,,,,
b-hydroxymyristic acid,,,,,,,,,,,,
balhimycin,C15711,C15711,Balhimycin,C66H73Cl2N9O24,MNXM43287,cpd11352,,47250,CPD-17525,,,CN[C@H](CC(C)C)C(=O)N[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@H](C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O[C@H]3C[C@](C)(N)C(=O)[C@H](C)O3)c3ccc(c(Cl)c3)Oc3cc2cc(c3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)Oc2ccc(cc2Cl)[C@H]1O
Diaminopentane producer,,,,,,,,,,,,
alpha-farnesene,C09665,C09665,alpha-Farnesene,C15H24,MNXM734466,cpd06559,,10280,CPD-8764,,,C=C/C(C)=C/C/C=C(\C)CCC=C(C)C
coenzyme Q 10,C11378,C11378,Ubiquinone-10,C59H90O4,MNXM740811,cpd08232,q10,46245,UBIQUINONE-10,13447,R-ALL-73663,COC1=C(OC)C(=O)C(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)=C(C)C1=O
para-hydroxybenzoate,,,,,,,,,,,,
b-glucuronidase,,,,,,,,,,,,
3-hydroxydodecanoic acid,,,,,,,,,,,,
sucrose,C00089,C00089,Sucrose,C12H22O11,MNXM1104180,cpd00076,sucr,172954;17992,SUCROSE,1294,R-ALL-188980,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
acetylated perillyl alcohol,,,,,,,,,,,,
1-dodecanol,C02277,C02277,1-Dodecanol,C12H26O,MNXM11431,cpd01534,,28878,CPD-7867,2400,,CCCCCCCCCCCCO
hemoglobin,C01708,C01708,Hemoglobin,,MNXM4007,cpd11940;cpd27230,,35143;5656,Hemoglobins,5743,,
"cis,cis-Muconic acid",,,,,,,,,,,,
Salicylic acid,C00805,C00805,Salicylate,C7H6O3,MNXM730078,cpd00599,salc,16914;30762,CPD-110,2163,R-ALL-159559;R-ALL-2314690,O=C(O)c1ccccc1O
human superoxide dismutase,,,,,,,,,,,,
pantothenate,C00864,C00864,Pantothenate,C9H17NO5,MNXM734864,cpd00644,pnto__R,29032;46905,PANTOTHENATE,5286,,CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)O
Isobutyraldehyde,,,,,,,,,,,,
anteiso-branched fatty acids,,,,,,,,,,,,
(+)-afzelechin,,,,,,,,,,,,
Ectoine,C06231,C06231,Ectoine,C6H10N2O2,MNXM1101175,cpd03727,ecto__L,27592;58515;63475,ECTOINE,,,CC1=N[C@H](C(=O)O)CCN1
long chain hydroxyfatty acids,,,,,,,,,,,,
Hydroxydodecanoic acids,,,,,,,,,,,,
Hydroxytetradecanoic acids,,,,,,,,,,,,
ω-3-hydroxytetradecanoic acid,,,,,,,,,,,,
mesaconate,C01732,C01732,Mesaconate,C5H6O4,MNXM727488,cpd01194,mescon,16600;36986,MESACONATE,5760,,C/C(=C\C(=O)O)C(=O)O
ethylene,C06547,C06547,Ethylene,C2H4,MNXM740127,cpd03956;cpd20758,,18153,ETHYLENE-CMPD,2899,R-ALL-38985,C=C
docosahexaenoic acid,C06429,C06429,"(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoic acid",C22H32O2,MNXM7161,cpd03852,crvnc,28125;77016,CPD-10244,2895,R-ALL-2066763;R-ALL-2066770;R-ALL-400493,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O
n-6 docosapentaenoic acid,,,,,,,,,,,,
spliceostatins,,,,,,,,,,,,
12-aminododecanoic acid methyl ester,,,,,,,,,,,,
C16 chain length aldehyde,,,,,,,,,,,,
fatty alcohol,,,,,,,,,,,,
glutamic acid,,,,,,,,,,,,
3-Dehydroshikimate,C02637,C02637,3-Dehydroshikimate,C7H8O5,MNXM611,cpd01716,3dhsk,16630;177846;30918,3-DEHYDRO-SHIKIMATE,27313;6290,R-ALL-964941,O=C(O)C1=CC(=O)[C@@H](O)[C@H](O)C1
polyglutamate,,,,,,,,,,,,
2-C-methyl-D-erythritol 4-phosphate,C11434,C11434,2-C-Methyl-D-erythritol 4-phosphate,C5H13O7P,MNXM730435,cpd08286,2me4p,17764;58262,2-C-METHYL-D-ERYTHRITOL-4-PHOSPHATE,13501,,C[C@](O)(CO)[C@H](O)COP(=O)(O)O
deoxyviolacein,C21133,C21133,Deoxyviolacein,C20H13N3O2,MNXM98206,cpd24291,,131915,CPD-14318,,,O=C1NC(c2c[nH]c3ccccc23)=C/C1=C1\C(=O)Nc2ccccc21
D-glucaric acid,C00818,C00818,D-Glucarate,C6H10O8,MNXM1107695,cpd00571;cpd00609,glcr,16002;30612;33801,D-GLUCARATE,5252,,O=C(O)[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)O
4-Hydroxyisoleucine,,,,,,,,,,,,
"2,3 butanediol",,,,,,,,,,,,
Isopentanol,,,,,,,,,,,,
2-phenylethyl acetate,C12303,C12303,Phenethyl acetate,C10H12O2,MNXM12629,cpd09075,pheac,31988,CPD-14529,,,CC(=O)OCCc1ccccc1
3-hexenyl acetate,,,,,,,,,,,,
geranyl acetate,C09861,C09861,Geranyl acetate,C12H20O2,MNXM740882,cpd06751,,5331,CPD-9758,,,CC(=O)OC/C=C(\C)CCC=C(C)C
pentyl acetate,,,,,,,,,,,,
phenylethyl acetate,,,,,,,,,,,,
phenylethyl alcohol,C05853,C05853,Phenylethyl alcohol,C8H10O,MNXM2476,cpd03481,2phetoh,49000,CPD-7035,8208,,OCCc1ccccc1
isobutyl isobutyrate,,,,,,,,,,,,
MCL-PHAs composed of 3-hydroxybutyrate,,,,,,,,,,,,
1-hydroxyneurosporene,,,,,,,,,,,,
3-hydroxy-i-zeacarotene,,,,,,,,,,,,
"3-or 3%-hydroxy-7,8-dihydro-i-carotene",,,,,,,,,,,,
"7,8-dihydrozeaxanthin",,,,,,,,,,,,
recombinant IN-1 F ab fragment,,,,,,,,,,,,
Inulase II,,,,,,,,,,,,
Cell growth,,,,,,,,,,,,
Tetrahydrobiopterin,C00272,C00272,Tetrahydrobiopterin,C9H15N5O3,MNXM1106144,cpd00233,thptn,59560,CPD-14053,,,C[C@H](O)[C@H](O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1
biopterin,C06313,C06313,Biopterin,C9H11N5O3,MNXM59381,cpd03754,,15373;63931,All-Biopterines;CPD-10819,8531,,CC(O)C(O)c1cnc2nc(N)[nH]c(=O)c2n1
total protein,,,,,,,,,,,,
trans-cinnamic acid,C00423,C00423,trans-Cinnamate,C9H8O2,MNXM736095,cpd00333,cinnm,15669;23248;27386;35697,CPD-674,12522;5085,,O=C(O)/C=C/c1ccccc1
Hippuric acid,C01586,C01586,Hippurate,C9H9NO3,MNXM1577,cpd01114,bgly,18089;606565,CPD-425,5679,R-ALL-159564,O=C(O)CNC(=O)c1ccccc1
quinic acid,C00296,C00296,Quinate,C7H12O6,MNXM736788,cpd00248,quin,17521;29751,QUINATE,27312;5034,,O=C(O)[C@]1(O)C[C@@H](O)[C@@H](O)[C@H](O)C1
poly(2-hydroxybutyrate-co-lactate,,,,,,,,,,,,
Adipic acid,C06104,C06104,Adipate,C6H10O4,MNXM2800,cpd03642,adpac,17128;30832;30833,ADIPATE,2863,,O=C(O)CCCCC(=O)O
Gamma-aminobutyrate,,,,,,,,,,,,
exopolysaccharide,,,,,,,,,,,,
isofloridoside,,,,,,,,,,,,
Amyloglucosidase,,,,,,,,,,,,
Daidzein,C10208,C10208,Daidzein,C15H10O4,MNXM1227,cpd07097,,28197;77764,DAIDZEIN,12293,,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12
C3-C5 linear alcohols,,,,,,,,,,,,
C4-C5 branched alcohols,,,,,,,,,,,,
branched alcohols,,,,,,,,,,,,
long linear alcohol 1-pentanol,,,,,,,,,,,,
pivalcohol,,,,,,,,,,,,
recombinant porcine β-defensin 2,,,,,,,,,,,,
Conjugated linoleic acid,,,,,,,,,,,,
l-phenyllactic acid,,,,,,,,,,,,
glucosamine-6-phosphate synthase,,,,,,,,,,,,
UDP-N-acetylglucosamine,C00043,C00043,UDP-N-acetyl-alpha-D-glucosamine,C17H27N3O17P2,MNXM1104529,cpd00037,uacgam,16264;57705,UDP-N-ACETYL-D-GLUCOSAMINE,1925,R-ALL-162756;R-ALL-3499326;R-ALL-914003,CC(=O)N[C@H]1[C@@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O
"L-lactate, 2,3-butanediol",,,,,,,,,,,,
8-hydroxygeraniol,C17621,C17621,(6E)-8-Hydroxygeraniol,C10H18O2,MNXM1107746,cpd17740,,64235,CPD-7857,28216,,C/C(=C\CC/C(C)=C/CO)CO
nepetalactol,,,,,,,,,,,,
nepetalactone,,,,,,,,,,,,
hydroxystrictosidine,,,,,,,,,,,,
5-hydroxytryptamine,C00780,C00780,Serotonin,C10H12N2O,MNXM357,cpd00579,srtn,28790;350546,SEROTONIN,5234,R-ALL-114523;R-ALL-209914;R-ALL-30717;R-ALL-380585,NCCc1c[nH]c2ccc(O)cc12
vinylphenols,,,,,,,,,,,,
acetate esters,,,,,,,,,,,,
ethyl esters,,,,,,,,,,,,
monoterpene alcohols,,,,,,,,,,,,
(+)-cis-isopulegone,C11951,C11951,(+)-cis-Isopulegone,C10H16O,MNXM2880,cpd08748,,37047,CPD-4941,,,C=C(C)[C@H]1CC[C@@H](C)CC1=O
(−)-menthol,,,,,,,,,,,,
(−)-trans-isopiperitenol,,,,,,,,,,,,
D-limonene,C06099,C06099,(R)-Limonene,C10H16,MNXM741616,cpd03638,,15382,CPD-8785,,,C=C(C)[C@H]1CC=C(C)CC1
3-geranyl-4-hydroxybenzoate acid,,,,,,,,,,,,
p-hydroxybenzoate acid,,,,,,,,,,,,
(E)-nerolidol,,,,,,,,,,,,
"(E,E)-farnesol",,,,,,,,,,,,
ethyl decanoate,,,,,,,,,,,,
ethyl phenylacetate,,,,,,,,,,,,
isoamyl alcohol,C07328,C07328,3-Methylbutanol,C5H12O,MNXM1670,cpd04533,iamoh,15837,CPD-7032,9439,,CC(C)CCO
6-methyl-5-hepten-2-one,C07287,C07287,Sulcatone,C8H14O,MNXM2867,cpd04501,,16310,CPD-7969,,,CC(=O)CCC=C(C)C
"4S,1′S,4′R-bisabolol oxide B",,,,,,,,,,,,
recombinant xanthine dehydrogenases,,,,,,,,,,,,
(E)-β-ocimene,C09873,C09873,(E)-beta-Ocimene,C10H16,MNXM733891,cpd06763,,64280,CPD-4889,11958,,C=C/C(C)=C/CC=C(C)C
β-myrcene,C06074,C06074,Myrcene,C10H16,MNXM2022,cpd03619,,17221,CPD-4888,,,C=CC(=C)CCC=C(C)C
ajmalicine,C09024,C09024,Ajmalicine,C21H24N2O3,MNXM102409,cpd05920,,142527;2524,CPD-21568,,,COC(=O)C1=CO[C@@H](C)[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12
sanguinarine,C06162,C06162,Sanguinarine,C20H14NO4,MNXM4103,cpd03677,,17183,SANGUINARINE,,,C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3
"butane-2,3-dione",,,,,,,,,,,,
esters,,,,,,,,,,,,
(+)-limonene,C06099,C06099,(R)-Limonene,C10H16,MNXM741616,cpd03638,,15382,CPD-8785,,,C=C(C)[C@H]1CC=C(C)CC1
(−)-limonene,,,,,,,,,,,,
β-nootkatol,,,,,,,,,,,,
Extracellular Polysaccharide,,,,,,,,,,,,
Flavin adenine dinucleotide,C00016,C00016,FAD,C27H33N9O15P2,MNXM1105936,,fad,16238,,1270,R-ALL-113596;R-ALL-113597;R-ALL-141335;R-ALL-141707;R-ALL-189484;R-ALL-2160490;R-ALL-217259;R-ALL-29386,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)c2cc1C
Flavin mononucleotide,C00061,C00061,FMN,C17H21N4O9P,MNXM1105927,,fmn,17621,Oxidized-flavodoxins,1673,R-ALL-389864;R-ALL-73524;R-ALL-76629,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c2cc1C
Superoxide dismutase,,,,,,,,,,,,
Ethyl Carbamate,C01537,C01537,Urethane,C3H7NO2,MNXM4867,cpd01084,,17967,URETHAN,,,CCOC(N)=O
urea,C00086,C00086,Urea,CH4N2O,MNXM117,cpd00073,urea,134711;16199;32285;48376,UREA,1798,R-ALL-29514;R-ALL-374061;R-ALL-432019,NC(N)=O
UDP-glucose,C00029,C00029,UDP-glucose,C15H24N2O17P2,MNXM1104702,cpd00026;cpd28293,udpg,18066;46229;58367;58885,CPD-12575,1277;3918,R-ALL-173594;R-ALL-29410;R-ALL-417855;R-ALL-744227,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1
volatile aroma compounds,,,,,,,,,,,,
cellobiohydrolase,,,,,,,,,,,,
dicarboxylic acids,,,,,,,,,,,,
sophorolipid,,,,,,,,,,,,
22-kb DNA construct,,,,,,,,,,,,
Formaldehyde dehydrogenase,,,,,,,,,,,,
"taxa-4(5),11(12)-diene",C11894,C11894,"Taxa-4(5),11(12)-diene",C20H32,MNXM1780,cpd08692,,30037,TAXA-411-DIENE,,,CC1=CCC[C@@]2(C)CCC3=C(C)CC[C@@H](C[C@H]12)C3(C)C
N-acetyl-D-glucosamine,C00140,C00140,N-Acetyl-D-glucosamine,C8H15NO6,MNXM1105935,cpd00122;cpd02006;cpd27608;cpd27610,acgam,21601;506227,N-acetyl-D-glucosamine;N-acetyl-D-hexosamines,,,CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O
6-deoxocastasterone,C15802,C15802,6-Deoxocastasterone,C28H50O4,MNXM735211,,,,,,,CC(C)[C@H](C)[C@@H](O)[C@H](O)[C@@H](C)[C@H]1CCC2[C@@H]3CC[C@H]4C[C@H](O)[C@H](O)C[C@]4(C)[C@H]3CC[C@@]21C
castasterone,C15794,C15794,Castasterone,C28H48O5,MNXM736444,,,,,,,CC(C)[C@H](C)[C@@H](O)[C@H](O)[C@@H](C)[C@H]1CCC2[C@@H]3CC(=O)[C@H]4C[C@H](O)[C@H](O)C[C@]4(C)[C@H]3CC[C@@]21C
Glutathione,C00051,C00051,Glutathione,C10H17N3O6S,MNXM490899,cpd00042,gthrd,16856;57925,GLUTATHIONE;GSH-Group,1926,R-ALL-1247892;R-ALL-1500783;R-ALL-158543;R-ALL-1655887;R-ALL-2239524;R-ALL-29450,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O
glucose isomerase,,,,,,,,,,,,
xylanase,,,,,,,,,,,,
arabitol,,,,,,,,,,,,
inulinase,,,,,,,,,,,,
D-threitol,C16884,C16884,D-Threitol,C4H10O4,MNXM734798,cpd17172,,48300,CPD-12825,23143;26836,,OC[C@@H](O)[C@H](O)CO
protease,,,,,,,,,,,,
erythritol,C00503,C00503,Erythritol,C4H10O4,MNXM734797,cpd00392,,17113,ERYTHRITOL,5122,,OC[C@H](O)[C@H](O)CO
Human interferon alpha-2b,,,,,,,,,,,,
1-pentadecene,,,,,,,,,,,,
1-tridecene,,,,,,,,,,,,
extracellular lipid,,,,,,,,,,,,
microbial lipids,,,,,,,,,,,,
6-oxo-heptanoic acid amide,,,,,,,,,,,,
farnesyl acetate,,,,,,,,,,,,
D-arabitol,C01904,C01904,D-Arabitol,C5H12O5,MNXM1018,cpd01307,abt__D,18333,CPD-355,2333,,OC[C@@H](O)C(O)[C@H](O)CO
complex sphingolipids,,,,,,,,,,,,
Superoxide Dismutase,,,,,,,,,,,,
dry cell biomass,,,,,,,,,,,,
for biodiesel,,,,,,,,,,,,
single cell oil,,,,,,,,,,,,
Acetyl-coenzyme A,C00024,C00024,Acetyl-CoA,C23H38N7O17P3S,MNXM1104266,cpd00022,accoa,15351;57288,ACETYL-COA,1276,R-ALL-113559;R-ALL-113560;R-ALL-353123;R-ALL-727753;R-ALL-76183,CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
biodiesel,,,,,,,,,,,,
Total lipids,,,,,,,,,,,,
Galacto-oligosaccharides,,,,,,,,,,,,
glucose oxidase,,,,,,,,,,,,
3-hydroxypropionaldehyde,,,,,,,,,,,,
naturally flavoured beverages,,,,,,,,,,,,
Hydrogen sulfide,C00283,C00283,Hydrogen sulfide,H2S,MNXM124865,cpd00239;cpd24697,HC00250;h2s,16136;29919;30488;30489;37180,CPD-846;HS,2007,R-ALL-1614532;R-ALL-1655881;R-ALL-1663154,S
"such as ethyl octanoate, ethyl acetate, 3-methylbutyl acetate, ethyl hexanoate",,,,,,,,,,,,
cryptotanshinone,,,,,,,,,,,,
dihydrotanshinone,,,,,,,,,,,,
tanshinones,,,,,,,,,,,,
ammonia nitrogen,,,,,,,,,,,,
total acid,,,,,,,,,,,,
nucleic acid,,,,,,,,,,,,
monacolin K,,,,,,,,,,,,
dihomo-γ-linolenic acid,,,,,,,,,,,,
γ-linolenic acid,,,,,,,,,,,,
"1,2,4-trimethylbenzene",C14533,C14533,"1,2,4-Trimethylbenzene",C9H12,MNXM32098,cpd10232,,34039,PSEUDOCUMENE,,,Cc1ccc(C)c(C)c1
"2,4-ditertbutylphenol",,,,,,,,,,,,
benzoic acid,C00180,C00180,Benzoate,C7H6O2,MNXM217,cpd00153,bz,16150;30746,BENZOATE,1912,R-ALL-159446,O=C(O)c1ccccc1
Calcium-bound poly(β-l-malic acid,,,,,,,,,,,,
Poly(β-l-malic acid,,,,,,,,,,,,
malic acids,,,,,,,,,,,,
betulin,C08618,C08618,Betulin,C30H50O2,MNXM736192,cpd05525,,3086,CPD-14491,,,C=C(C)[C@@H]1CC[C@]2(CO)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12
